venue,city,count(*)
"Curtis Hixon Convention Hall","Tampa, FL",4
"Dallas Convention Center","Dallas, TX",1
"Dane County Coliseum","Madison, WI",5
"Deer Creek","Noblesville, IN",3
"Deer Creek Amphitheater","Noblesville, IN",3
"Deer Creek Ampitheatre","Noblesville, IN",2
"Deer Creek Music Center","Noblesville, IN",3
"Delta Center","Salt Lake City, UT",3
"Denver Coliseum","Denver, CO",2
"Des Moines Civic Center","Des Moines, IA",2
"Deutsches Museum Halle","Munich, DE",1
"Devore Field (Southwestern U)","Chula Vista, CA",1
Dijon,FR,1
"Dillon Gym","Princeton University, Princeton, NJ",1
"Dillon Stadium","Hartford, CT",2
"Dupont Gym","MIT, Cambridge, MA",1
"Eagle's Auditorium","Seattle, WA",1
"Edmundson Pavilion (U of Washington)","Seattle, WA",1
"Electric Factory","Philadelphia, PA",1
"Empire Pool","Wembley, UK",2
"Events Center (U of Colorado)","Boulder, CO",1
Fairgrounds,"Lille, FR",1
"Fairgrounds Arena","Oklahoma City, OK",1
"Felt Forum","Madison Square Garden, New York, NY",1
"Fest Halle","Frankfurt, DE",1
"Feyline Field","Tempe, AZ",1
"Field House (Northern Illinois U)","De Kalb, IL",1
"Field House (Rensselaer Polytechnic Institute)","Troy, NY",1
"Field House (Seneca College)","Toronto, ON",1
"Fiesta Hall (County Fairgrounds)","San Mateo, CA",1
"Fillmore Auditorium","San Francisco, CA",4
"Fillmore East","New York, NY",12
"Fillmore West","San Francisco, CA",11
"Five Seasons Center","Cedar Rapids, IA",1
"Folsom Field","University of Colorado, Boulder, CO",1
"Folsom Field (U of Colorado)","Boulder, CO",2
"Ford Auditorium","Detroit, MI",1
"Forum Theater","Copenhagen, XD",1
"Fox Theater","Atlanta, GA",9
"Fox Theater","St. Louis, MO",1
"Fox Theatre","St. Louis, MO",4
"Foxboro Stadium","Foxboro, MA",1
"Franklin County Airport","Highgate, VT",1
"Freedom Hall","Louisville, KY",2
"Freedom Hall","Lousville, KY",2
"Frost Amphitheater","Palo Alto, CA",1
"Frost Amphitheater (Stanford U)","Palo Alto, CA",10
"Frost Amphitheatre","Stanford University, Palo Alto, CA",1
"Frost Amphitheatre (Stanford Univversity)","Palo Alto, CA",1
"Frost Ampitheatre","Stanford, CA",1
"Giant's Stadium","East Rutherford, NJ",2
"Giants Stadium","East Rutherford, NJ",6
"Giants Stadium (Meadowlands Sports Complex)","East Rutherford, NJ",4
"Glen Helen Regional Park","Devore, CA",1
"Glenns Falls Civic Center","Glenns Falls, NY",3
"Golden Hall","San Diego, CA",6
"Grand Center","Grand Rapids, MI",1
"Grand Prix Racecourse","Watkins Glen, NY",2
"Great American Music Hall","San Francisco, CA",1
"Great Western Forum","Inglewood, CA",3
"Great Western Forum","Los Angeles, CA",3
"Greek Theater (U of California)","Berkeley, CA",21
"Greek Theatre","U. Of California, Berkeley, CA",3
"Greensboro Coliseum","Greensboro, NC",7
"Gruga Halle","Essen, DE",1
"Gruga Halle","Essen, XG",1
Gym,"S.U.N.Y., Stony Brook, NY",2
"HJK Convention Center","Oakland, CA",3
"Hampton Coliseum","Hampton, VA",2
"Hampton Roads Coliseum","Hampton, VA",13
"Hara Arena","Dayton, OH",1
"Harding Theatre","San Francisco, CA",1
"Harpur College","Binghamton, NY",1
"Hartford Civic Center","Hartford, CT",14
"Henry J. Kaiser Auditorium","Oakland, CA",7
"Henry J. Kaiser Convention Center","Oakland, CA",24
"Hershey Park Stadium","Hershey, PA",1
"Hile High Stadium","Denver, CO",1
"Hill Auditorium","Ann Arbor, MI",2
"Hofheinz Pavilion","Houston, TX",3
"Hollywood Bowl","Hollywood, CA",1
"Hollywood Bowl","Los Angeles, CA",1
"Hollywood Palladium","Hollywood, CA",3
"Horton Field House (Illinois State U)","Normal, IL",1
"Hubert H. Humphrey Metrodome","Minniapolis, MN",1
"Huntington Civic Center","Huntington, WV",1
"International Amphiteater","Chicago, IL",1
"International Amphitheater","Chicago, IL",1
"Irvine Meadows","Irvine, CA",3
"Irvine Meadows Amphitheater","Laguna Hills, CA",9
"Irvine Meadows Ampitheatre","Laguna Hills, CA",3
Istadium,"Stockholm, SE",1
"JFK Stadium","Philadelphia, PA",1
