Venue,City,Venue Count,Edit Venue,Edit City,Comments,,ct,st,ln st
Pittsburg Civic Arena,"Pittsburg, PA",1,,,,,Pittsburg,PA,2
Civic Arena,"Pittsburgh, PA",1,,,,,Pittsburgh,PA,2
Pittsburgh Civic Arena,"Pittsburgh, PA",4,,,,,Pittsburgh,PA,2
Stanley Theater,"Pittsburgh, PA",2,,,,,Pittsburgh,PA,2
The Civic Arena,"Pittsburgh, PA",2,,,,,Pittsburgh,PA,2
Three Rivers Stadium,"Pittsburgh, PA",1,,,,,Pittsburgh,PA,2
Poplar Creek Pavilion,"Poplar Creek, IL",2,,,,,Poplar Creek,IL,2
Capitol Theater,"Port Chester, NY",3,,,ok,,Port Chester,NY,2
Cumberland County Civic Center,"Portland, ME",7,,,,,Portland,ME,2
Memorial Coliseum,"Portland, OR",1,,,,,Portland,OR,2
Paramount Theater,"Portland, OR",4,,,,,Portland,OR,2
Paramount Theatre,"Portland, OR",2,,,,,Portland,OR,2
Portland Memorial Coliseum,"Portland, OR",4,,,,,Portland,OR,2
Springer's Inn,"Portland, OR",1,,,,,Portland,OR,2
Dillon Gym,"Princeton University, Princeton, NJ",1,,,,,Princeton University,Princeton,9
Civic Center,"Providence, RI",1,,,,,Providence,RI,2
Providence Civic Center,"Providence, RI",16,,,,,Providence,RI,2
Carter Findley Stadium,"Raleigh, NC",1,,,,,Raleigh,NC,2
Reno Centennial Coliseum,"Reno, NV",1,,,,,Reno,NV,2
University of Nevada,"Reno, NV",1,,,,,Reno,NV,2
2,"RFK Stadium, Washington, DC",1,,,,,RFK Stadium,Washington,10
2,"Rich Stadium, Orchard Park, NY",1,,,,,Rich Stadium,Orchard,7
2,"Richfield Coliseum, Richfield, OH",2,,,,,Richfield Coliseum,Richfield,9
Richfield Coliseum,"Richfield, OH",11,,,,,Richfield,OH,2
Richmond Coliseum,"Richmond, VA",4,,,,,Richmond,VA,2
The Mosque,"Richmond, VA",1,,,,,Richmond,VA,2
Civic Center,"Roanoke, VA",3,,,,,Roanoke,VA,2
Community War Memorial,"Rochester, NY",1,,,,,Rochester,NY,2
Rochester Silver Stadium,"Rochester, NY",1,,,,,Rochester,NY,2
Silver Stadium,"Rochester, NY",1,,,,,Rochester,NY,2
Unknown,"Rochester, NY",1,,,,,Rochester,NY,2
War Memorial Aud.,"Rochester, NY",1,,,,,Rochester,NY,2
War Memorial Auditorium,"Rochester, NY",8,,,,,Rochester,NY,2
Rosemont Horizon,"Rosemont, IL",7,,,,,Rosemont,IL,2
Civic Hall,"Rotterdam, NL",1,,,,,Rotterdam,NL,2
Walter Koebel Halle,"Russelsheim, XG",1,,,,,Russelsheim,XG,2
Gym,"S.U.N.Y., Stony Brook, NY",2,,,,,S.U.N.Y.,Stony,5
Cal Expo,"Sacramento, CA",9,Cal Expo Amphitheater,,e,,Sacramento,CA,2
Cal Expo Amphitheater,"Sacramento, CA",3,,,ok,,Sacramento,CA,2
Cal Expo Ampitheatre,"Sacramento, CA",6,Cal Expo Amphitheater,,e,,Sacramento,CA,2
California Exposition Amphitheater,"Sacramento, CA",4,,,,,Sacramento,CA,2
MemorialAuditorium,"Sacramento, CA",1,,,,,Sacramento,CA,2
Sacramento Memorial Auditorium,"Sacramento, CA",1,,,,,Sacramento,CA,2
Laguna Seca,"Salinas, CA",3,,,,,Salinas,CA,2
Delta Center,"Salt Lake City, UT",3,,,,,Salt Lake City,UT,2
Park West Ski Resort,"Salt Lake City, UT",2,,,,,Salt Lake City,UT,2
Salt Palace,"Salt Lake City, UT",2,,,,,Salt Lake City,UT,2
2,"Sam Boyd Silver Bowl, Las Vegas, NV",3,,,,,Sam Boyd Silver Bowl,Las,3
Unknown,"San Antonio, TX",1,,,,,San Antonio,TX,2
Swing Auditorium,"San Bernardino, CA",3,,,,,San Bernardino,CA,2
Golden Hall,"San Diego, CA",6,,,,,San Diego,CA,2
San Diego Sports Areana,"San Diego, CA",2,,,,,San Diego,CA,2
San Diego Sports Arena,"San Diego, CA",2,,,,,San Diego,CA,2
Avalon,"San Francisco, CA",1,Avalon Ballroom,,e,,San Francisco,CA,2
Avalon Ballrom,"San Francisco, CA",2,Avalon Ballroom,,e,,San Francisco,CA,2
Carousel Ballroom,"San Francisco, CA",1,,,,,San Francisco,CA,2
Fillmore Auditorium,"San Francisco, CA",4,,,,,San Francisco,CA,2
Fillmore West,"San Francisco, CA",11,,,,,San Francisco,CA,2
Great American Music Hall,"San Francisco, CA",1,,,,,San Francisco,CA,2
Harding Theatre,"San Francisco, CA",1,,,,,San Francisco,CA,2
Kezar Stadium,"San Francisco, CA",2,,,,,San Francisco,CA,2
KQED Studios,"San Francisco, CA",1,,,,,San Francisco,CA,2
Lindley Meadows (Golden Gate Park),"San Francisco, CA",1,,,,,San Francisco,CA,2
Moscone Center,"San Francisco, CA",1,,,,,San Francisco,CA,2
Orpheum Theatre,"San Francisco, CA",6,,,,,San Francisco,CA,2
San Francisco Civic,"San Francisco, CA",10,,,,,San Francisco,CA,2
The Matrix,"San Francisco, CA",2,,,,,San Francisco,CA,2
Unknown,"San Francisco, CA",1,,,,,San Francisco,CA,2
Warfield Theater,"San Francisco, CA",21,,,,,San Francisco,CA,2
Winteriand Arena,"San Francisco, CA",3,,,,,San Francisco,CA,2
Winterland,"San Francisco, CA",2,,,,,San Francisco,CA,2
Winterland Arena,"San Francisco, CA",34,,,,,San Francisco,CA,2
Civic Auditorium,"San Jose, CA",1,,,,,San Jose,CA,2
San Jose State U.,"San Jose, CA",1,,,,,San Jose,CA,2
Fiesta Hall (County Fairgrounds),"San Mateo, CA",1,,,,,San Mateo,CA,2
Marin County Veteran's Auditorium,"San Rafael, CA",6,,,,,San Rafael,CA,2
Civic Auditorium,"SanAntonio, TX",1,,,,,SanAntonio,TX,2
Arlington Theater,"Santa Barbara, CA",1,,,ok,,Santa Barbara,CA,2
Santa Fe Downs,"Santa Fe, NM",3,,,,,Santa Fe,NM,2
Saratoga Performing Arts Center,"Saratoga Springs, NY",3,,,,,Saratoga Springs,NY,2
Saratoga Performing Arts,"Saratoga, NY",1,,,,,Saratoga,NY,2
Eagle's Auditorium,"Seattle, WA",1,,,,,Seattle,WA,2
Edmundson Pavilion (U of Washington),"Seattle, WA",1,,,,,Seattle,WA,2
Paramount Northeast,"Seattle, WA",1,,,,,Seattle,WA,2
Paramount Northwest,"Seattle, WA",1,,,,,Seattle,WA,2
Paramount Northwest Theatre,"Seattle, WA",2,,,,,Seattle,WA,2
Seattle Center Arena,"Seattle, WA",1,,,,,Seattle,WA,2
Seattle Center Coliseum,"Seattle, WA",4,,,,,Seattle,WA,2
Seattle Memorial Stadium,"Seattle, WA",2,,,,,Seattle,WA,2
2,"Shoreline Amphitheater, Mountain View, CA",3,,,,,Shoreline Amphitheater,Mountain,8
2,Soldier,1,,,,,Soldier,,0
2,"Soldiers Field, Chicago, IL",1,,,,,Soldiers Field,Chicago,7
Spokane Coliseum,"Spokane, WA",1,,,,,Spokane,WA,2
Civic Center Arena,"Springfield, MA",2,,,,,Springfield,MA,2
Springfield Civic Center,"Springfield, MA",6,,,,,Springfield,MA,2
Fox Theater,"St. Louis, MO",1,,,ok,,St. Louis,MO,2
Fox Theatre,"St. Louis, MO",4,Fox Theater,,e,,St. Louis,MO,2
Kiel Auditorium,"St. Louis, MO",4,,,,,St. Louis,MO,2
St. Louis Arena,"St. Louis, MO",1,,,,,St. Louis,MO,2
Auditorium,"St. Paul, MN",1,St. Paul Auditorium,,e,,St. Paul,MN,2
St. Paul Civic Center,"St. Paul, MN",5,,,,,St. Paul,MN,2
Bayfront Center,"St. Petersburg, FL",2,,,ok,,St. Petersburg,FL,2
Frost Amphitheatre,"Stanford University, Palo Alto, CA",1,,,,,Stanford University,Palo,4
Frost Ampitheatre,"Stanford, CA",1,,,,,Stanford,CA,2
2,"Star Lake Amphitheater, Burgettstown, PA",2,,,,,Star Lake Amphitheater,Burgettstown,12
Rec Hall (Penn State U),"State College, PA",1,,,,,State College,PA,2
Istadium,"Stockholm, SE",1,,,,,Stockholm,SE,2
Stockton Civic Aud.,"Stockton, CA",1,,,,,Stockton,CA,2
Carrier Dome (Syracuse U),"Syracuse, NY",3,,,,,Syracuse,NY,2
Onondaga County War Memorial,"Syracuse, NY",2,,,,,Syracuse,NY,2
Onondaga War Memorial Aud.,"Syracuse, NY",1,,,,,Syracuse,NY,2
Onondaga War Memorial Auditorium,"Syracuse, NY",3,,,,,Syracuse,NY,2
Tacoma Dome,"Tacoma, WA",1,,,,,Tacoma,WA,2
Curtis Hixon Convention Hall,"Tampa, FL",4,,,,,Tampa,FL,2
Sun Dome,"Tampa, FL",1,,,,,Tampa,FL,2
Town Park,"Telluride, CO",2,,,,,Telluride,CO,2
Arizona State University,"Tempe, AZ",1,,,ok,,Tempe,AZ,2
Compton Terrace,"Tempe, AZ",2,Compton Terrace Amphitheater,,,,Tempe,AZ,2
Compton Terrace Amphitheater,"Tempe, AZ",5,,,ok,,Tempe,AZ,2
Feyline Field,"Tempe, AZ",1,,,,,Tempe,AZ,2
2,"The Omni, Atlanta, GA",3,,,,,The Omni,Atlanta,7
2,"The Palace, Auburn Hills, MI",2,,,,,The Palace,Auburn,6
2,"The Spectrum, Philadelphia, PA",3,,,54 total,,The Spectrum,Philadelphia,12
World Music Theatre,"Tinly Park, IL",3,,,,,Tinly Park,IL,2
Field House (Seneca College),"Toronto, ON",1,,,,,Toronto,ON,2
Kingswood Music Theater,"Toronto, ON",1,,,,,Toronto,ON,2
Field House (Rensselaer Polytechnic Institute),"Troy, NY",1,,,,,Troy,NY,2
Alpine Valley East,"Troy, WI",4,Alpine Valley Music Theater,,"moved comma so is ,East Troy",,Troy,WI,2
Memorial Coliseum (U of Alabama),"Tuscaloosa, AL",1,,,,,Tuscaloosa,AL,2
Greek Theatre,"U. Of California, Berkeley, CA",3,,,,,U. Of California,Berkeley,8
Crisler Arena,"U. Of Michigan, Ann Arbor, MI",1,,,,,U. Of Michigan,Ann,3
Pauley Pavilion,"U.C.L.A., Los Angeles, CA",1,,,,,U.C.L.A.,Los,3
Stadium,"U.C.S.B., Santa Barbara, CA",1,,,,,U.C.S.B.,Santa,5
Pauley Pavilion,"UCLA, Los Angeles, CA",1,,,,,UCLA,Los,3
Nassau Veterans Memorial Coliseum,"Uniondale , NY",1,,,,,Uniondale ,NY,2
Nassau Coliseum,"Uniondale, NY",29,,,,,Uniondale,NY,2
Nassau Veterans Memorial Coliseum,"Uniondale, NY",4,,,,,Uniondale,NY,2
Universal Amphitheatre,"Universal City, CA",3,,,,,Universal City,CA,2
Folsom Field,"University of Colorado, Boulder, CO",1,,,,,University of Colorado,Boulder,7
The Dean Dome,"University of NC, Chapel Hill, NC",2,,,,,University of NC,Chapel,6
Tower Theater,"Upper Darby, PA",1,,,,,Upper Darby,PA,2
Tower Theatre,"Upper Darby, PA",3,,,,,Upper Darby,PA,2
Memorial Auditorium,"Utica, NY",2,,,,,Utica,NY,2
Utica Memorial Auditorium,"Utica, NY",1,,,,,Utica,NY,2
P.N.E. Coliseum,"Vancouver, BC",1,,,,,Vancouver,BC,2
Old Renaissance Faire Grounds,"Veneta, OR",1,,,,,Veneta,OR,2
Oregon County Fair Site,"Veneta, OR",1,,,,,Veneta,OR,2
Ventura County Fairgrounds,"Ventura, CA",11,,,,,Ventura,CA,2
American University,"Washington, DC",1,,,ok,,Washington,DC,2
RFK Stadium,"Washington, DC",8,,,,,Washington,DC,2
Robert F. Kennedy Stadium,"Washington, DC",4,,,,,Washington,DC,2
The Palace Theater,"Waterbury, CT",2,,,,,Waterbury,CT,2
Grand Prix Racecourse,"Watkins Glen, NY",2,,,,,Watkins Glen,NY,2
Santa Cruz County Fairgrounds,"Watsonville, CA",1,,,,,Watsonville,CA,2
Empire Pool,"Wembley, UK",2,,,,,Wembley,UK,2
Auditorium,"West Palm Beach, FL",1,West Palm Beach Auditorium,,e,,West Palm Beach,FL,2
Unknown,"Wichita, KS",1,,,,,Wichita,KS,2
Bickershaw Festival,"Wigan, UK",1,,,ok,,Wigan,UK,2
William and Marry Hall,"Williamsburg, VA",1,,,,,Williamsburg,VA,2
William and Mary College,"Williamsburg, VA",2,,,,,Williamsburg,VA,2
William and Mary Hall,"Williamsburg, VA",1,,,,,Williamsburg,VA,2
Centrum,"Worcester, MA",1,The Centrum,,e,,Worcester,MA,2
The Centrum,"Worcester, MA",11,,,ok,,Worcester,MA,2
