Venue,City,Venue Count,Edit Venue,Edit City,Comments,,ct,st,ln st
Auditorium Theatre,"Chicago, ILL",1,Auditorium Theatre (Roosevelt U.),"Chicago, IL",e,,Chicago,ILL,3
Devore Field (Southwestern U),"Chula Vista, CA",1,,,,,Chula Vista,CA,2
River Front Coliseum,"Cincinatti, OH",1,,,,,Cincinatti,OH,2
Cincinnati Gardens,"Cincinnati, OH",1,,,,,Cincinnati,OH,2
Music Mall,"Cincinnati, OH",1,,,,,Cincinnati,OH,2
River Bend Music Center,"Cincinnati, OH",2,,,,,Cincinnati,OH,2
Riverfront Arena,"Cincinnati, OH",1,,,,,Cincinnati,OH,2
Pine Knob Music Theatre,"Clarkston, MI",2,,,,,Clarkston,MI,2
Pine Knob Music Theater,"Clarkstown, MI",2,,,,,Clarkstown,MI,2
Allan Theater,"Cleveland, OH",1,,,?,,Cleveland,OH,2
Cleveland Music Hall,"Cleveland, OH",3,,,,,Cleveland,OH,2
Cleveland Public Hall,"Cleveland, OH",1,,,,,Cleveland,OH,2
Convention Center,"Cleveland, OH",1,,,,,Cleveland,OH,2
Public Hall,"Cleveland, OH",1,,,,,Cleveland,OH,2
P.N.E,"Coliseum, Vancouver, BC",1,,,,,Coliseum,Vancouver,9
Cole Field House (U of Maryland),"College Park, MD",1,,,,,College Park,MD,2
Veterans' Memorial Hall,"Colombus, OH",1,,,,,Colombus,OH,2
Merriweather Post Pavilion,"Columbia, MD",6,,,,,Columbia,MD,2
Carolina Coliseum (U of South Carolina),"Columbia, SC",1,,,,,Columbia,SC,2
St. John's Arena (Ohio State Univ.),"Columbus, OH",1,,,,,Columbus,OH,2
Unknown,"Columbus, OH",1,,,,,Columbus,OH,2
Veterans Memorial Auditorium,"Columbus, OH",1,,,,,Columbus,OH,2
2,"Compton Terrace, Tempe, AZ",2,,,,,Compton Terrace,Tempe,5
Tivoii Gardens,"Copenhagen, DK",1,,,,,Copenhagen,DK,2
Tivoii Theater,"Copenhagen, DK",1,,,,,Copenhagen,DK,2
Tivoli Theater,"Copenhagen, DK",1,,,,,Copenhagen,DK,2
Forum Theater,"Copenhagen, XD",1,,,,,Copenhagen,XD,2
2,"Copps Coliseum, Hamilton, ON",2,,,,,Copps Coliseum,Hamilton,8
Unknown,"Corvalis, OR",1,,,,,Corvalis,OR,2
